Name,Price,Image URL,Product URL
Kiki New Gain LED Display Cordless Rechargeable Clipper NG-888B,"₦ 7,300",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/233407/2.jpg?0184,http://jumia.com.ng//kiki-new-gain-led-display-cordless-rechargeable-clipper-ng-888b-70433256.html
Silicone LED Digital Wristwatch - Unisex,"₦ 1,980",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/718375/1.jpg?0866,http://jumia.com.ng//fashion-silicone-led-digital-wristwatch-unisex-57381735.html
William Lawson's Finest Blend Whiskey 75cl x1,"₦ 4,100",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/681138/1.jpg?1970,http://jumia.com.ng//william-lawsons-finest-blend-whiskey-75cl-x1-83118629.html
"itel P38 6.6"" HD+ Screen, 2GB RAM + 32GB ROM, 8MP Camera, 5000mAh 15W Charge, Android 11, Fingerprint & Face ID - Blue","₦ 52,999",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/9305921/1.jpg?6573,http://jumia.com.ng//itel-p38-6.6-hd-screen-2gb-ram-32gb-rom-8mp-camera-5000mah-15w-charge-android-11-fingerprint-face-id-blue-129503925.html
"Ring Light Tripod Stand For Live Videos, Makeup, YouTubing","₦ 15,000",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/876689/1.jpg?6989,http://jumia.com.ng//generic-ring-light-tripod-stand-for-live-videos-makeup-youtubing-98667840.html
XIAOMI Redmi 9A 2GB/32GB - Granite Grey,"₦ 57,000",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/1429231/1.jpg?9891,http://jumia.com.ng//xiaomi-redmi-9a-2gb32gb-granite-grey-132924162.html
"XIAOMI Note 10S, 6GB/128GB Memory, Android 11 - White","₦ 104,500",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/3191321/1.jpg?7239,http://jumia.com.ng//xiaomi-note-10s-6gb128gb-memory-android-11-white-123191333.html
2 Piece Men's Round Neck Short Sleeve Shirt & Shorts - White,"₦ 3,990",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/907717/1.jpg?0713,http://jumia.com.ng//fashion-2-piece-mens-round-neck-short-sleeve-shirt-shorts-white-71770940.html
Skyrun 93-Litres Single Door Fridge BCD-95A,"₦ 69,400",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/306344/1.jpg?4463,http://jumia.com.ng//skyrun-93-litres-single-door-fridge-bcd-95a-44360308.html
Pny Technologies PNY USB 2.0 64GB Flash Drive - Attaché 4 - Black,"₦ 4,199",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/8071521/1.jpg?6662,http://jumia.com.ng//pny-technologies-pny-usb-2.0-64gb-flash-drive-attache-4-black-125170886.html
